global_step,loss,wall_time_unix
3019,9.00000000,1778467978.164083
3024,9.12500000,1778468053.732621
3029,8.75000000,1778468129.694693
3034,8.62500000,1778468205.873550
3039,9.12500000,1778468280.634733
3044,9.12500000,1778468356.300931
3049,9.06250000,1778468431.526063
3054,9.37500000,1778468507.588532
3059,9.25000000,1778468582.731426
3064,9.25000000,1778468657.639296
3069,8.75000000,1778468733.543096
3074,9.00000000,1778468809.096217
3079,9.06250000,1778468885.271585
3084,9.00000000,1778468961.779142
3089,9.12500000,1778469037.608804
3094,9.00000000,1778469114.256430
3099,8.87500000,1778469189.727488
3104,9.31250000,1778469266.289539
3109,8.93750000,1778469342.849484
3114,9.00000000,1778469417.409223
3119,9.00000000,1778469492.032206
3124,9.12500000,1778469566.854242
3129,9.12500000,1778469641.942262
3134,9.00000000,1778469716.840922
3139,9.06250000,1778469792.628098
3144,9.12500000,1778469868.581802
3149,8.93750000,1778469944.246806
3154,8.93750000,1778470018.942882
3159,8.87500000,1778470095.177000
3164,9.00000000,1778470169.426895
3169,9.00000000,1778470244.922121
3174,8.87500000,1778470320.426976
3179,8.93750000,1778470395.863911
3184,9.12500000,1778470471.897796
3189,9.06250000,1778470548.033273
3194,8.87500000,1778470623.232761
3199,8.93750000,1778470699.359178
3204,8.81250000,1778470775.633225
3209,9.25000000,1778470850.964157
3214,9.06250000,1778470926.569689
3219,9.25000000,1778471002.300528
3224,9.12500000,1778471078.638187
3229,9.12500000,1778471153.568126
3234,8.93750000,1778471228.153636
3239,9.00000000,1778471303.841346
3244,8.81250000,1778471379.278329
3249,8.75000000,1778471455.322191
3254,8.87500000,1778471530.446358
3259,9.06250000,1778471606.369576
3264,9.06250000,1778471682.596890
3269,9.00000000,1778471758.099515
3274,8.68750000,1778471833.173815
3279,9.12500000,1778471909.029463
3284,8.93750000,1778471984.782325
3289,8.68750000,1778472060.318601
3294,9.12500000,1778472135.331809
3299,9.25000000,1778472211.471190
3304,9.18750000,1778472287.076057
3309,9.25000000,1778472361.982533
3314,9.06250000,1778472437.780666
3319,8.87500000,1778472513.029935
3324,9.06250000,1778472587.167726
3329,9.31250000,1778472664.143287
3334,9.06250000,1778472738.125015
3339,8.81250000,1778472814.245774
3344,9.25000000,1778472888.716824
3349,9.00000000,1778472964.628873
3354,8.87500000,1778473039.415416
3359,9.12500000,1778473114.424536
3364,9.12500000,1778473189.878061
3369,9.00000000,1778473264.995005
3374,9.18750000,1778473341.658215
3379,9.06250000,1778473417.269509
3384,9.06250000,1778473493.112940
3389,8.93750000,1778473568.231491
3394,9.12500000,1778473643.750435
3399,9.12500000,1778473720.811110
3404,8.87500000,1778473796.535546
3409,8.87500000,1778473871.976998
3414,9.12500000,1778473947.434658
3419,9.00000000,1778474022.689472
3424,8.87500000,1778474097.122076
3429,9.06250000,1778474171.876878
3434,8.87500000,1778474246.344459
3439,9.18750000,1778474321.372558
3444,9.00000000,1778474396.277379
3449,9.06250000,1778474470.073805
3454,9.12500000,1778474544.836640
3459,9.06250000,1778474620.138767
