timestamp,epoch,step_in_epoch,steps_per_epoch,global_step,loss
2026-05-17T11:31:16Z,0,1971,20976,1970,8.3953
2026-05-17T11:33:40Z,0,1981,20976,1980,8.6088
2026-05-17T11:35:31Z,0,1991,20976,1990,8.2013
2026-05-17T11:38:19Z,0,2001,20976,2000,7.7245
2026-05-17T11:40:07Z,0,2011,20976,2010,7.9885
2026-05-17T11:42:31Z,0,2021,20976,2020,7.7723
2026-05-17T11:45:29Z,0,2031,20976,2030,8.1417
2026-05-17T11:47:46Z,0,2041,20976,2040,8.1263
2026-05-17T11:49:48Z,0,2051,20976,2050,7.875
2026-05-17T11:52:14Z,0,2061,20976,2060,8.1201
2026-05-17T11:55:02Z,0,2071,20976,2070,7.8024
2026-05-17T11:57:17Z,0,2081,20976,2080,7.2503
2026-05-17T12:00:05Z,0,2091,20976,2090,8.5314
2026-05-17T12:02:57Z,0,2101,20976,2100,8.2181
2026-05-17T12:05:44Z,0,2111,20976,2110,8.2782
2026-05-17T12:08:55Z,0,2121,20976,2120,8.2463
2026-05-17T12:11:39Z,0,2131,20976,2130,8.551
2026-05-17T12:14:26Z,0,2141,20976,2140,8.5686
2026-05-17T12:16:36Z,0,2151,20976,2150,8.4078
2026-05-17T12:18:35Z,0,2161,20976,2160,7.9018
2026-05-17T12:20:43Z,0,2171,20976,2170,7.8905
2026-05-17T12:23:22Z,0,2181,20976,2180,7.5788
2026-05-17T12:27:10Z,0,2191,20976,2190,7.8013
2026-05-17T12:29:01Z,0,2201,20976,2200,8.2825
2026-05-17T12:32:46Z,0,2211,20976,2210,8.1409
2026-05-17T12:35:47Z,0,2221,20976,2220,7.8439
2026-05-17T12:37:53Z,0,2231,20976,2230,6.7931
2026-05-17T12:39:43Z,0,2241,20976,2240,8.2766
2026-05-17T12:41:29Z,0,2251,20976,2250,8.2675
2026-05-17T12:45:06Z,0,2261,20976,2260,7.7306
2026-05-17T12:46:59Z,0,2271,20976,2270,7.9891
2026-05-17T12:49:23Z,0,2281,20976,2280,8.0543
2026-05-17T12:51:30Z,0,2291,20976,2290,7.7733
2026-05-17T12:54:14Z,0,2301,20976,2300,8.1072
2026-05-17T12:56:25Z,0,2311,20976,2310,7.4103
2026-05-17T12:58:19Z,0,2321,20976,2320,7.3884
2026-05-17T13:01:11Z,0,2331,20976,2330,8.3057
2026-05-17T13:03:24Z,0,2341,20976,2340,7.3144
2026-05-17T13:05:29Z,0,2351,20976,2350,7.5052
2026-05-17T13:08:18Z,0,2361,20976,2360,7.9575
2026-05-17T13:10:28Z,0,2371,20976,2370,8.0887
2026-05-17T13:12:54Z,0,2381,20976,2380,7.6441
2026-05-17T13:15:11Z,0,2391,20976,2390,8.0718
